_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
1,1,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,13-06-2021 08:30,7
2,2,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,03-07-2021 08:30,16
3,3,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,14-07-2021 08:30,46
4,4,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,19-07-2021 08:30,80
5,5,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,20-07-2021 08:30,230
6,6,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,21-07-2021 08:30,12
7,7,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,25-07-2021 08:30,7
8,8,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,29-07-2021 08:30,90
9,9,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,31-07-2021 08:30,16
10,10,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,02-08-2021 08:30,8
11,11,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,03-08-2021 08:30,20
12,12,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,06-08-2021 08:30,9
13,13,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,09-08-2021 08:30,12
14,14,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,22-08-2021 08:30,42
15,15,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-09-2021 08:30,70
16,16,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,02-09-2021 08:30,45
17,17,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,05-09-2021 08:30,7
18,18,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,11-09-2021 08:30,12
19,19,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,12-09-2021 08:30,18
20,20,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,14-09-2021 08:30,33
21,21,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,17-09-2021 08:30,8
22,22,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,28-09-2021 08:30,29
23,23,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,18-10-2021 08:30,13
24,24,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,25-10-2021 08:30,20
25,25,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,18-06-2022 08:30,16
26,26,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,19-06-2022 08:30,16
27,27,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,22-06-2022 08:30,5
28,28,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-07-2022 08:30,100
29,29,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,02-07-2022 08:30,33
30,30,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,03-07-2022 08:30,8
31,31,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,11-07-2022 08:30,18
32,32,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,12-07-2022 08:30,18
33,33,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,13-07-2022 08:30,10
34,34,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,15-07-2022 08:30,5
35,35,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,16-07-2022 08:30,23
36,36,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,17-07-2022 08:30,65
37,37,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,21-07-2022 08:30,15
38,38,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,23-07-2022 08:30,90
39,39,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,26-07-2022 08:30,24
40,40,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,28-07-2022 08:30,4
41,41,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,29-07-2022 08:30,8
42,42,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,30-07-2022 08:30,63
43,43,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,06-08-2022 08:30,40
44,44,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,31-08-2022 08:30,10
45,45,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,11-09-2022 08:30,20
46,46,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,13-09-2022 08:30,26
47,47,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,22-09-2022 08:30,22
48,48,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,23-09-2022 08:30,78
49,49,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,24-09-2022 08:30,117
50,50,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,25-09-2022 08:30,123
51,51,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,08-10-2022 08:30,6
52,52,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,09-10-2022 08:30,61
53,53,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,25-06-2023 08:30,55
54,54,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,26-06-2023 08:30,25
55,55,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,06-07-2023 17:30,33
56,56,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,08-07-2023 11:30,17
57,57,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,09-07-2023 20:30,30
58,58,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,16-07-2023 08:30,80
59,59,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,27-07-2023 20:30,86
60,60,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,29-07-2023 08:30,50
61,61,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,29-07-2023 14:30,25
62,62,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,04-08-2023 08:30,10.6
63,63,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,05-08-2023 08:30,8
64,64,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,19-08-2023 08:30,25
65,65,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,10-09-2023 08:30,22
66,66,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,16-09-2023 20:30,50
67,67,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,23-09-2023 20:30,10
68,68,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,17-10-2023 08:30,5
69,69,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,27-06-2024 08:30,10
70,70,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,03-07-2024 20:30,50
71,71,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,18-07-2024 20:30,24
72,72,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,22-07-2024 17:30,40
73,73,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,27-07-2024 20:30,40
74,74,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-08-2024 08:30,30
75,75,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-08-2024 14:30,70
76,76,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,02-08-2024 20:30,15
77,77,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,08-08-2024 08:30,9
78,78,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,08-08-2024 17:30,37
79,79,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,09-08-2024 08:30,35.3
80,80,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,11-08-2024 08:30,15
81,81,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,11-08-2024 17:30,25
82,82,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,13-08-2024 08:30,30
83,83,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,14-08-2024 08:30,8
84,84,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,15-08-2024 08:30,27
85,85,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,16-08-2024 08:30,45
86,86,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,25-08-2024 08:30,10
87,87,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,26-08-2024 14:30,5.8
88,88,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,27-08-2024 08:30,10
89,89,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,29-08-2024 14:30,28
90,90,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,04-09-2024 11:30,25
91,91,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,04-09-2024 17:30,105
92,92,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,08-09-2024 08:30,55
93,93,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,08-09-2024 11:30,15
94,94,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,13-09-2024 17:30,50
95,95,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,14-09-2024 08:30,60
96,96,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,17-06-2025 20:30,8
97,97,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-07-2025 08:30,70
98,98,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,07-07-2025 08:30,80
99,99,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,10-07-2025 08:30,140
100,100,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,14-07-2025 08:30,58
101,101,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,16-07-2025 08:30,18
102,102,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,16-07-2025 20:30,20
103,103,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,24-07-2025 08:30,60
104,104,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,31-07-2025 08:30,14
105,105,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,31-07-2025 20:30,36
106,106,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-08-2025 08:30,200
107,107,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,03-08-2025 08:30,40
108,108,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,09-08-2025 20:30,13
109,109,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,15-08-2025 20:30,28
110,110,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,16-08-2025 20:30,20
111,111,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,23-08-2025 20:30,35
112,112,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,24-08-2025 20:30,30
113,113,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,25-08-2025 08:30,12
114,114,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,25-08-2025 20:30,17.2
115,115,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,28-08-2025 20:30,10
116,116,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-09-2025 08:30,21
117,117,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-09-2025 20:30,56
118,118,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,02-09-2025 08:30,58
119,119,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,02-09-2025 20:30,36
120,120,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,03-09-2025 20:30,7
121,121,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,04-09-2025 08:30,8
122,122,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,05-09-2025 08:30,27
123,123,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-10-2025 08:30,10
124,124,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,07-10-2025 08:30,20
125,125,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,08-10-2025 08:30,22
126,126,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,05-01-2021 08:30,2.4
127,127,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,06-01-2021 08:30,16.4
128,128,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,04-02-2021 08:30,2.4
129,129,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,05-02-2021 08:30,9.6
130,130,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,27-02-2021 08:30,2.8
131,131,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,22-04-2021 08:30,1.8
132,132,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,23-04-2021 08:30,1.2
133,133,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,24-04-2021 08:30,4.8
134,134,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,05-05-2021 08:30,1.2
135,135,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,07-05-2021 08:30,1.4
136,136,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,13-05-2021 08:30,1.8
137,137,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,20-05-2021 08:30,15.2
138,138,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,30-05-2021 08:30,25.8
139,139,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,01-06-2021 08:30,19.4
140,140,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,12-06-2021 08:30,12.6
141,141,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,18-06-2021 08:30,42.6
142,142,Fatehgarh,CWC,6,Haryana,76,YAMUNANAGAR,JAGADHRI,-,-,Ganga,Ganga,Yamuna,Somb,-,Somb,30.17222222,77.39222222,20-06-2021 08:30,24.2
