SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Quarterly Manual (meter)
1,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,20-08-2019 06:00,3.7
2,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,01-11-2019 06:00,4.95
3,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,10-01-2020 00:00,4.7
4,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,25-08-2020 00:00,3.94
5,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,30-11-2020 00:00,4.44
6,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-01-1996 06:00,10.62
7,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,15-05-1996 06:00,11.19
8,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,25-08-1996 06:00,12.01
9,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-11-1996 06:00,10.59
10,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-01-1997 06:00,11.07
11,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,25-08-1997 06:00,11.17
12,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-11-1997 06:00,10.02
13,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-01-1998 06:00,9.72
14,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,15-05-1998 06:00,10.82
15,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,25-08-1998 06:00,11.65
16,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-11-1998 06:00,9.33
17,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-01-1999 06:00,8.57
18,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,15-05-1999 06:00,10.16
19,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,25-08-1999 06:00,12.27
20,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-11-1999 06:00,10.84
21,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-01-2000 06:00,10.57
22,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,15-05-2000 06:00,12.42
23,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,25-08-2000 06:00,13.19
24,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-11-2000 06:00,12.81
25,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-01-2001 06:00,11.97
26,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,15-05-2001 06:00,12.79
27,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-1996 06:00,6.41
28,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-1996 06:00,6.34
29,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-1997 06:00,4.95
30,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-1997 06:00,6.59
31,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-1997 06:00,6.21
32,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-1997 06:00,5.29
33,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-1998 06:00,5.18
34,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-1998 06:00,6.12
35,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-1998 06:00,4.16
36,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-1998 06:00,3.71
37,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-1999 06:00,4.37
38,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-1999 06:00,4.97
39,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-1999 06:00,4.47
40,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-1999 06:00,4.93
41,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-2000 06:00,4.79
42,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2000 06:00,5.74
43,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2000 06:00,4.64
44,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2000 06:00,4.78
45,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-2001 06:00,5.24
46,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2001 06:00,6.48
47,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2001 06:00,5.76
48,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2001 06:00,5.44
49,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-2002 06:00,6.39
50,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2002 06:00,6.64
51,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2002 06:00,6.26
52,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2002 06:00,5.97
53,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-2003 06:00,6.45
54,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2003 06:00,6.71
55,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2003 06:00,4.74
56,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2003 06:00,4.74
57,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-2004 06:00,5.74
58,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2004 06:00,5.94
59,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2004 06:00,6.04
60,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2004 06:00,5.37
61,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-2005 06:00,6.34
62,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2005 06:00,6.46
63,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2005 06:00,6.27
64,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2005 06:00,5.69
65,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-2006 06:00,6.22
66,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2006 06:00,7.02
67,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2006 06:00,6.39
68,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2006 06:00,6.64
69,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-2007 06:00,7.85
70,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2007 06:00,7.65
71,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2007 06:00,6.64
72,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2007 06:00,6.62
73,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-2008 06:00,7.46
74,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2008 06:00,7.85
75,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2008 06:00,5.88
76,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2008 06:00,6.14
77,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-2009 06:00,6.61
78,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2009 06:00,7.25
79,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2009 06:00,8.98
80,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2009 06:00,7.88
81,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2010 06:00,8.71
82,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2010 06:00,7.95
83,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2010 06:00,5.87
84,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-01-2011 06:00,6.53
85,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2011 06:00,7.31
86,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2011 06:00,6.77
87,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2011 06:00,5.8
88,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2012 06:00,7.84
89,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2012 06:00,7.44
90,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2013 06:00,7.85
91,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2013 06:00,5.65
92,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2014 06:00,6.85
93,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2014 06:00,8.5
94,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2015 06:00,7.86
95,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,15-05-2016 06:00,7.84
96,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,05-11-2016 06:00,9.8
97,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,20-10-2018 00:00,9.74
98,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,01-11-2018 00:00,9.74
99,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,01-11-2019 06:00,10
100,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,25-08-2020 00:00,10.1
101,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-01-1996 06:00,10.67
102,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-1996 06:00,10.6
103,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-1996 06:00,10.44
104,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-11-1996 06:00,9.76
105,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-01-1997 06:00,9.62
106,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-1997 06:00,9.35
107,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-1997 06:00,9.12
108,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-01-1998 06:00,8.01
109,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-1998 06:00,9.09
110,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-1998 06:00,10.74
111,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-11-1998 06:00,8.17
112,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-01-1999 06:00,5.82
113,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-1999 06:00,9.13
114,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-1999 06:00,9.39
115,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-11-1999 06:00,10.53
116,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-01-2000 06:00,9.67
117,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-2000 06:00,11.12
118,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-2000 06:00,9.77
119,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-11-2000 06:00,10.12
120,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-01-2001 06:00,10.27
121,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-2001 06:00,10.72
122,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-2001 06:00,10.57
123,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-2002 06:00,10.33
124,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-11-2002 06:00,11.45
125,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-01-2003 06:00,11.66
126,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-2003 06:00,12.02
127,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-2003 06:00,11.83
128,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-11-2003 06:00,11.67
129,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-01-2004 06:00,11.97
130,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-2004 06:00,12.22
131,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-2004 06:00,12.33
132,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-11-2004 06:00,12.33
133,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-01-2005 06:00,12.59
134,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-2005 06:00,12.97
135,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-2005 06:00,12.47
136,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-11-2005 06:00,12.42
137,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-01-2006 06:00,13.07
138,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-2006 06:00,13.34
139,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-2006 06:00,12.65
140,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-11-2006 06:00,13.01
141,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-01-2007 06:00,13.37
142,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-2007 06:00,14.07
143,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,25-08-2007 06:00,12.84
144,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-11-2008 06:00,13.28
145,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,15-05-2015 06:00,14.47
146,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,05-11-2015 06:00,12.5
147,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,01-06-2018 00:00,16
148,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,15-05-2012 06:00,4.51
149,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,05-11-2012 06:00,4.31
150,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,15-05-2013 06:00,4.22
151,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,25-08-2013 06:00,3.44
152,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,05-11-2013 06:00,3.52
153,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,05-01-2014 06:00,3.53
154,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,15-05-2014 06:00,3.62
155,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,25-08-2014 06:00,3.5
156,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,05-11-2014 06:00,4.52
157,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,05-01-2015 06:00,4.5
158,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,15-05-2015 06:00,4.2
159,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,05-11-2015 06:00,4.19
160,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,15-05-2016 06:00,4.11
161,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,25-08-2016 06:00,4.45
162,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,05-11-2016 06:00,3.97
163,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,15-05-2017 06:00,5.23
164,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,05-11-2017 06:00,3.82
