_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Quarterly Manual (meter)
1,1,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,10-01-2021 00:00,4.45
2,2,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,31-08-2021 06:00,5.11
3,3,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,30-01-2022 07:00,4.5
4,4,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,20-05-2022 06:00,12.7
5,5,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,01-11-2022 06:00,4.63
6,6,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,01-01-2023 00:00,4.72
7,7,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,01-06-2023 00:00,4.98
8,8,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,01-01-2024 00:00,2.38
9,9,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,30-01-2022 07:00,10.1
10,10,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,20-05-2022 06:00,3.44
11,11,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,20-05-2022 06:00,15.5
12,12,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,20-05-2022 06:00,2.8
13,13,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,01-01-2023 00:00,0.98
14,14,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,01-06-2023 00:00,1.6
15,15,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,20-08-2023 00:00,0.98
16,16,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,01-11-2023 00:00,1.7
17,17,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,01-01-2024 00:00,1.82
18,18,Adhoya-Pz,CGWB,6,Haryana,68,KURUKSHETRA,PEHOWA,PEHOWA,Adhoya,-,-,-,-,-,-,30.06805556,76.48888889,,20-05-2022 06:00,40.67
19,19,Agaon-Pz,CGWB,6,Haryana,604,Nuh,FEROZPUR JHIRKA,FIROZEPUR JHIRKA,Agaon,-,-,-,-,-,-,27.73055556,76.96527778,,20-05-2022 06:00,16.8
20,20,Agroha,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.30833333,75.65,,20-08-2023 00:00,10.8
21,21,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,10-01-2021 00:00,7.35
22,22,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,31-08-2021 06:00,8.33
23,23,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,30-11-2021 06:00,7.23
24,24,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,30-01-2022 07:00,6.68
25,25,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,20-05-2022 06:00,11.1
26,26,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,01-08-2022 06:00,6.65
27,27,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,01-01-2023 00:00,3.5
28,28,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,01-06-2023 00:00,9.98
29,29,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,20-08-2023 00:00,11.3
30,30,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,01-11-2023 00:00,11.46
31,31,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,01-01-2024 00:00,11.19
32,32,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,10-01-2021 00:00,71.2
33,33,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,31-08-2021 06:00,70.73
34,34,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,30-11-2021 06:00,69.35
35,35,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,30-01-2022 07:00,72.45
36,36,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,20-05-2022 06:00,70
37,37,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,01-08-2022 06:00,78.02
38,38,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,01-11-2023 00:00,79.69
39,39,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,01-01-2024 00:00,78.59
40,40,Ahmadpur Majra-DW,CGWB,6,Haryana,75,SONIPAT,GOHANA,MUNDLANA,Ahmadpur Majra,-,-,-,-,-,-,29.21777778,76.69194444,,20-05-2022 06:00,7.98
41,41,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,10-01-2021 00:00,1.65
42,42,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,31-08-2021 06:00,3.46
43,43,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,30-01-2022 07:00,1.17
44,44,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,20-05-2022 06:00,3.98
45,45,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,01-08-2022 06:00,1.37
46,46,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,01-10-2022 00:00,1.25
47,47,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,01-11-2022 06:00,1.27
48,48,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,20-08-2023 00:00,1.27
49,49,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,01-11-2023 00:00,1.27
50,50,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,01-01-2024 00:00,1.2
51,51,Ajaib-DW,CGWB,6,Haryana,73,ROHTAK,MAHAM,MEHAM,Ajaib,-,-,-,-,-,-,28.975,76.42194444,,20-05-2022 06:00,2.45
52,52,Ajrana Kalan S,CGWB,6,Haryana,68,KURUKSHETRA,SHAHBAD,THANESAR,Ajrana Kalan S,-,-,-,-,-,-,30.09583333,76.77083333,,20-05-2022 06:00,45.8
53,53,Ajrawer-PZ,CGWB,6,Haryana,68,KURUKSHETRA,SHAHBAD,SHAHBAD,Ajrawer,-,-,-,-,-,-,30.14861111,76.68611111,,20-05-2022 06:00,44.9
54,54,Akaira,CGWB,6,Haryana,604,Nuh,NUH,NUH,Akaira,-,-,-,-,-,-,28.00833333,77.00416667,,10-01-2021 00:00,3.35
55,55,Akaira,CGWB,6,Haryana,604,Nuh,NUH,NUH,Akaira,-,-,-,-,-,-,28.00833333,77.00416667,,30-11-2021 06:00,4.92
56,56,Akaira,CGWB,6,Haryana,604,Nuh,NUH,NUH,Akaira,-,-,-,-,-,-,28.00833333,77.00416667,,30-01-2022 07:00,4.5
57,57,Akaira,CGWB,6,Haryana,604,Nuh,NUH,NUH,Akaira,-,-,-,-,-,-,28.00833333,77.00416667,,20-05-2022 06:00,3.85
58,58,Akaira,CGWB,6,Haryana,604,Nuh,NUH,NUH,Akaira,-,-,-,-,-,-,28.00833333,77.00416667,,01-11-2023 00:00,4.6
59,59,Akbarpur,CGWB,6,Haryana,604,Nuh,NUH,NUH,Gangoli,-,-,-,-,-,-,28.14583333,77.14166667,,10-01-2021 00:00,0.9
60,60,Alak Pura-DW,CGWB,6,Haryana,59,BHIWANI,BAWANI KHERA,BAWANI KHERA,Alak Pura,-,-,-,-,-,-,29.00138889,76.08388889,,20-05-2022 06:00,3.9
61,61,Alampur-DW,CGWB,6,Haryana,59,BHIWANI,TOSHAM,TOSHAM,Alampur,-,-,-,-,-,-,28.8,75.83277778,,20-05-2022 06:00,11.3
62,62,Alewa,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa,-,-,-,-,-,-,29.47083333,76.45416667,,31-08-2021 06:00,42.42
63,63,Alewa,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa,-,-,-,-,-,-,29.47083333,76.45416667,,20-05-2022 06:00,43
64,64,Alewa,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa,-,-,-,-,-,-,29.47083333,76.45416667,,01-08-2022 06:00,41.3
65,65,Alewa,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa,-,-,-,-,-,-,29.47083333,76.45416667,,01-10-2022 00:00,40.37
66,66,Alewa,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa,-,-,-,-,-,-,29.47083333,76.45416667,,01-11-2022 06:00,42.77
67,67,Alewa Pz,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa Pz,-,-,-,-,-,-,29.48055556,76.45,,10-01-2021 00:00,40.44
68,68,Alewa Pz,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa Pz,-,-,-,-,-,-,29.48055556,76.45,,30-01-2022 07:00,40.55
69,69,Alewa Pz,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa Pz,-,-,-,-,-,-,29.48055556,76.45,,20-05-2022 06:00,38.35
70,70,Alewa Pz,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa Pz,-,-,-,-,-,-,29.48055556,76.45,,20-08-2023 00:00,42.76
71,71,Alewa Pz,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa Pz,-,-,-,-,-,-,29.48055556,76.45,,01-11-2023 00:00,43.3
72,72,Alewa Pz,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa Pz,-,-,-,-,-,-,29.48055556,76.45,,01-01-2024 00:00,42.21
73,73,Ali Mohmmad,CGWB,6,Haryana,74,SIRSA,SIRSA,NATHUSARI CHOPRA,Ali Mohmmad,-,-,-,-,-,-,29.4625,75.105,,20-05-2022 06:00,28
74,74,Alipur,CGWB,6,Haryana,63,HISAR,HISSAR,HISAR - I,Alipur,-,-,-,-,-,-,29.13333333,75.88333333,,01-08-2022 06:00,9
75,75,ALIPURKHARAR-M,CGWB,6,Haryana,63,HISAR,-,-,-,-,-,-,-,-,-,29.121667,75.898889,,01-01-2023 00:00,3.04
76,76,ALIPURKHARAR-M,CGWB,6,Haryana,63,HISAR,-,-,-,-,-,-,-,-,-,29.121667,75.898889,,20-08-2023 00:00,3.09
77,77,ALIPURKHARAR-M,CGWB,6,Haryana,63,HISAR,-,-,-,-,-,-,-,-,-,29.121667,75.898889,,01-11-2023 00:00,3.39
78,78,ALIPURKHARAR-S,CGWB,6,Haryana,63,HISAR,-,-,-,-,-,-,-,-,-,29.121667,75.898889,,01-01-2023 00:00,3.45
79,79,ALIPURKHARAR-S,CGWB,6,Haryana,63,HISAR,-,-,-,-,-,-,-,-,-,29.121667,75.898889,,20-08-2023 00:00,3.18
80,80,ALIPURKHARAR-S,CGWB,6,Haryana,63,HISAR,-,-,-,-,-,-,-,-,-,29.121667,75.898889,,01-11-2023 00:00,3.31
81,81,ALIPURKHARAR-S,CGWB,6,Haryana,63,HISAR,-,-,-,-,-,-,-,-,-,29.121667,75.898889,,01-01-2024 00:00,4.05
82,82,Ambala Cantt,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.38333333,76.7625,,10-01-2021 00:00,1.93
83,83,Ambala Cantt,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.38333333,76.7625,,31-08-2021 06:00,1.71
84,84,Ambala Cantt,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.38333333,76.7625,,30-11-2021 06:00,1.32
85,85,Ambala Cantt,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.38333333,76.7625,,30-01-2022 07:00,0.97
86,86,Ambala Cantt,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.38333333,76.7625,,20-05-2022 06:00,1.77
87,87,Ambala Cantt,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.38333333,76.7625,,01-08-2022 06:00,1.27
88,88,Ambala Cantt,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.38333333,76.7625,,01-11-2022 06:00,1.05
89,89,Ambala Cantt,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.38333333,76.7625,,01-01-2023 00:00,1.35
90,90,Ambala Cantt,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.38333333,76.7625,,01-06-2023 00:00,1.28
91,91,Ambala Cantt,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.38333333,76.7625,,01-11-2023 00:00,1.83
92,92,Ambala Cantt,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.38333333,76.7625,,01-01-2024 00:00,1.72
93,93,Ambala Cantt-Pz,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Cantt,-,-,-,-,-,-,30.36666667,76.83333333,,20-05-2022 06:00,3.39
94,94,Ambala City-DW,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala City,-,-,-,-,-,-,30.38333333,76.73333333,,20-05-2022 06:00,2.75
95,95,Ambala Harding,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Harding,-,-,-,-,-,-,30.35138889,76.84722222,,10-01-2021 00:00,13.88
96,96,Ambala Harding,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Harding,-,-,-,-,-,-,30.35138889,76.84722222,,31-08-2021 06:00,14.98
97,97,Ambala Harding,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Harding,-,-,-,-,-,-,30.35138889,76.84722222,,30-11-2021 06:00,11.08
98,98,Ambala Harding,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Harding,-,-,-,-,-,-,30.35138889,76.84722222,,30-01-2022 07:00,10.78
99,99,Ambala Harding,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Harding,-,-,-,-,-,-,30.35138889,76.84722222,,20-05-2022 06:00,10.62
100,100,Ambala Harding,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Harding,-,-,-,-,-,-,30.35138889,76.84722222,,01-08-2022 06:00,14.06
101,101,Ambala Harding,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Harding,-,-,-,-,-,-,30.35138889,76.84722222,,01-11-2022 06:00,12.65
102,102,Ambala Harding,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Harding,-,-,-,-,-,-,30.35138889,76.84722222,,01-01-2023 00:00,11.6
103,103,Ambala Harding,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Harding,-,-,-,-,-,-,30.35138889,76.84722222,,20-08-2023 00:00,11.44
104,104,Ambala Harding,CGWB,6,Haryana,58,AMBALA,AMBALA,AMBALA-I,Ambala Harding,-,-,-,-,-,-,30.35138889,76.84722222,,01-11-2023 00:00,10.58
105,105,Aminabad-DW,CGWB,6,Haryana,604,Nuh,PUNHANA,PUNHANA,Aminabad,-,-,-,-,-,-,27.79722222,77.21527778,,20-05-2022 06:00,4.1
106,106,Amin S,CGWB,6,Haryana,67,KARNAL,NILOKHERI,NILOKHERI,Amin S,-,-,-,-,-,-,29.87222222,76.84444444,,10-01-2021 00:00,33.92
107,107,Amin S,CGWB,6,Haryana,67,KARNAL,NILOKHERI,NILOKHERI,Amin S,-,-,-,-,-,-,29.87222222,76.84444444,,31-08-2021 06:00,37.07
108,108,Amin S,CGWB,6,Haryana,67,KARNAL,NILOKHERI,NILOKHERI,Amin S,-,-,-,-,-,-,29.87222222,76.84444444,,30-11-2021 06:00,35.96
109,109,Amin S,CGWB,6,Haryana,67,KARNAL,NILOKHERI,NILOKHERI,Amin S,-,-,-,-,-,-,29.87222222,76.84444444,,30-01-2022 07:00,35.5
110,110,Amin S,CGWB,6,Haryana,67,KARNAL,NILOKHERI,NILOKHERI,Amin S,-,-,-,-,-,-,29.87222222,76.84444444,,20-05-2022 06:00,34.95
111,111,Amin S,CGWB,6,Haryana,67,KARNAL,NILOKHERI,NILOKHERI,Amin S,-,-,-,-,-,-,29.87222222,76.84444444,,01-08-2022 06:00,36.9
112,112,Amin S,CGWB,6,Haryana,67,KARNAL,NILOKHERI,NILOKHERI,Amin S,-,-,-,-,-,-,29.87222222,76.84444444,,01-11-2022 06:00,36.65
113,113,Amin S,CGWB,6,Haryana,67,KARNAL,NILOKHERI,NILOKHERI,Amin S,-,-,-,-,-,-,29.87222222,76.84444444,,01-01-2023 00:00,35.38
114,114,Amin S,CGWB,6,Haryana,67,KARNAL,NILOKHERI,NILOKHERI,Amin S,-,-,-,-,-,-,29.87222222,76.84444444,,20-08-2023 00:00,39.6
115,115,Amin S,CGWB,6,Haryana,67,KARNAL,NILOKHERI,NILOKHERI,Amin S,-,-,-,-,-,-,29.87222222,76.84444444,,01-11-2023 00:00,35.83
116,116,Amupur Chakda,CGWB,6,Haryana,67,KARNAL,KARNAL,-,-,-,-,-,-,-,-,29.77388889,76.74138889,,10-01-2021 00:00,30.24
117,117,Amupur Chakda,CGWB,6,Haryana,67,KARNAL,KARNAL,-,-,-,-,-,-,-,-,29.77388889,76.74138889,,31-08-2021 06:00,35.04
118,118,Amupur Chakda,CGWB,6,Haryana,67,KARNAL,KARNAL,-,-,-,-,-,-,-,-,29.77388889,76.74138889,,30-11-2021 06:00,34.33
119,119,Amupur Chakda,CGWB,6,Haryana,67,KARNAL,KARNAL,-,-,-,-,-,-,-,-,29.77388889,76.74138889,,30-01-2022 07:00,34.39
120,120,Amupur Chakda,CGWB,6,Haryana,67,KARNAL,KARNAL,-,-,-,-,-,-,-,-,29.77388889,76.74138889,,01-11-2022 06:00,33.89
121,121,Amupur Chakda,CGWB,6,Haryana,67,KARNAL,KARNAL,-,-,-,-,-,-,-,-,29.77388889,76.74138889,,01-01-2023 00:00,31.43
122,122,Amupur Chakda,CGWB,6,Haryana,67,KARNAL,KARNAL,-,-,-,-,-,-,-,-,29.77388889,76.74138889,,01-11-2023 00:00,36.13
123,123,Amupur-PZ,CGWB,6,Haryana,67,KARNAL,KARNAL,NISSANG,Amupur,-,-,-,-,-,-,29.76,76.72583333,,20-05-2022 06:00,30.1
124,124,Anandpur-Jarot-DW,CGWB,6,Haryana,75,SONIPAT,KHARKHODA,KHARHAUDA,Anandpur-Jarot,-,-,-,-,-,-,28.91638889,76.93694444,,20-05-2022 06:00,4.85
125,125,Anchla-Pz,CGWB,6,Haryana,67,KARNAL,GHARAUNDA,GHARAUNDA,Anchla,-,-,-,-,-,-,29.57277778,76.84944444,,20-05-2022 06:00,12.5
126,126,Anjanthali-Pz,CGWB,6,Haryana,67,KARNAL,NILOKHERI,NILOKHERI,Anjanthali,-,-,-,-,-,-,29.84305556,76.88333333,,20-05-2022 06:00,27.17
127,127,Anta-Pz,CGWB,6,Haryana,65,JIND,SAFIDON,SAFIDON,Anta,-,-,-,-,-,-,29.41555556,76.72083333,,20-05-2022 06:00,20.7
128,128,Antawa-Pz,CGWB,6,Haryana,76,YAMUNANAGAR,JAGADHRI,RADAUR,Antawa,-,-,-,-,-,-,30.1,77.11666667,,20-05-2022 06:00,32.15
129,129,Anwali-Pz,CGWB,6,Haryana,75,SONIPAT,GOHANA,GOHANA,Anwali,-,-,-,-,-,-,29.00277778,76.75833333,,20-05-2022 06:00,1.89
130,130,Assandh-Pz,CGWB,6,Haryana,67,KARNAL,ASSANDH,ASSANDH,Assandh,-,-,-,-,-,-,29.52277778,76.60416667,,20-05-2022 06:00,19.85
131,131,Assan-DW,CGWB,6,Haryana,73,ROHTAK,ROHTAK,ROHTAK,Assan,-,-,-,-,-,-,28.89666667,76.76111111,,20-05-2022 06:00,3.05
132,132,Atail-DW,CGWB,6,Haryana,73,ROHTAK,SAMPLA,SAMPLA,Atail,-,-,-,-,-,-,28.84166667,76.75194444,,20-05-2022 06:00,3.57
133,133,Atela-PZ,CGWB,6,Haryana,701,Charkhi Dadri,BADHRA,BADHRA,Atela,-,-,-,-,-,-,28.57833333,76.10583333,,20-05-2022 06:00,26.58
134,134,Atikrishna1(s),CGWB,6,Haryana,65,JIND,JIND,JIND,Atikrishna1(s),-,-,-,-,-,-,29.2875,76.33888889,,10-01-2021 00:00,26.38
135,135,Atikrishna1(s),CGWB,6,Haryana,65,JIND,JIND,JIND,Atikrishna1(s),-,-,-,-,-,-,29.2875,76.33888889,,01-11-2022 06:00,20.18
136,136,Atikrishna2(m),CGWB,6,Haryana,65,JIND,JIND,JIND,Atikrishna2(m),-,-,-,-,-,-,29.2875,76.33888889,,01-11-2022 06:00,20.78
137,137,Ayalki 1(m),CGWB,6,Haryana,61,FATEHABAD,FATEHABAD,FATEHABAD,Ayalki 1(m),-,-,-,-,-,-,29.56666667,75.48333333,,20-05-2022 06:00,64.93
138,138,Babail M-Pz,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail M,-,-,-,-,-,-,29.42916667,77.05,,10-01-2021 00:00,26.98
139,139,Babail M-Pz,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail M,-,-,-,-,-,-,29.42916667,77.05,,31-08-2021 06:00,31.5
140,140,Babail M-Pz,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail M,-,-,-,-,-,-,29.42916667,77.05,,30-01-2022 07:00,23.85
141,141,Babail M-Pz,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail M,-,-,-,-,-,-,29.42916667,77.05,,20-05-2022 06:00,29.15
142,142,Babail M-Pz,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail M,-,-,-,-,-,-,29.42916667,77.05,,01-08-2022 06:00,32.46
143,143,Babail M-Pz,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail M,-,-,-,-,-,-,29.42916667,77.05,,01-11-2022 06:00,30.2
144,144,Babail M-Pz,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail M,-,-,-,-,-,-,29.42916667,77.05,,20-08-2023 00:00,29.7
145,145,Babail M-Pz,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail M,-,-,-,-,-,-,29.42916667,77.05,,01-11-2023 00:00,29.7
146,146,Babail M-Pz,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail M,-,-,-,-,-,-,29.42916667,77.05,,01-01-2024 00:00,27.33
147,147,Babail Pz S,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail Pz M,-,-,-,-,-,-,29.42916667,77.05,,10-01-2021 00:00,30.15
148,148,Babail Pz S,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail Pz M,-,-,-,-,-,-,29.42916667,77.05,,31-08-2021 06:00,30.28
149,149,Babail Pz S,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail Pz M,-,-,-,-,-,-,29.42916667,77.05,,30-01-2022 07:00,9.25
150,150,Babail Pz S,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail Pz M,-,-,-,-,-,-,29.42916667,77.05,,20-05-2022 06:00,10.85
151,151,Babail Pz S,CGWB,6,Haryana,71,PANIPAT,PANIPAT,PANIPAT,Babail Pz M,-,-,-,-,-,-,29.42916667,77.05,,01-11-2022 06:00,26
152,152,Bachki-Pz,CGWB,6,Haryana,68,KURUKSHETRA,PEHOWA,PEHOWA,Bachki,-,-,-,-,-,-,30.03944444,76.75555556,,10-01-2021 00:00,39.12
153,153,Badala,CGWB,6,Haryana,59,BHIWANI,BHIWANI,BHIWANI,Badala,-,-,-,-,-,-,28.75694444,76.25416667,,10-01-2021 00:00,3.7
154,154,Badala,CGWB,6,Haryana,59,BHIWANI,BHIWANI,BHIWANI,Badala,-,-,-,-,-,-,28.75694444,76.25416667,,31-08-2021 06:00,5.51
